Variation,config,classifier,method,max_calls,N,N correct,N incorrect,Accuracy (%),Mean conf (all),Mean conf (correct),Mean conf (incorrect),Mean diff (conf),Welch t (conf),p (conf),Cohen's d (conf),N gap correct,N gap incorrect,Mean gap (all),Mean gap (correct),Mean gap (incorrect),Mean diff (gap),Welch t (gap),p (gap),Cohen's d (gap),Corr r,AUC (conf),AUC (gap),Brier,ECE,Sig conf (uncorrected),Sig conf (Bonferroni),Sig conf (BH-FDR),"p adj (conf, BH)",Sig gap (uncorrected),Sig gap (Bonferroni),Sig gap (BH-FDR),"p adj (gap, BH)"
Ollama (names + opt-out) [gen mc=3],Names + opt-out,ollama,generate,3.0,606,450,156,74.25742574257426,0.9443217516904786,0.9773049995016322,0.849177767619843,0.1281272318817892,7.980458327032282,9.870945166325431e-14,1.0748452753254503,450,156,0.9015112211221123,0.957166,0.7409685897435898,0.21619741025641015,8.01014618246133,7.331802843850405e-14,1.0388839404376238,0.4258922887282751,0.8176210826210826,0.8158974358974359,0.20017591857670528,0.201747494264736,True,True,True,9.870975974836507e-14,True,True,True,8.064983128235445e-14
Ollama (names + opt-out) [gen mc=5],Names + opt-out,ollama,generate,5.0,606,450,156,74.25742574257426,0.9443217516904786,0.9773049995016322,0.849177767619843,0.1281272318817892,7.980458327032282,9.870945166325431e-14,1.0748452753254503,450,156,0.9015112211221123,0.957166,0.7409685897435898,0.21619741025641015,8.01014618246133,7.331802843850405e-14,1.0388839404376238,0.4258922887282751,0.8176210826210826,0.8158974358974359,0.20017591857670528,0.201747494264736,True,True,True,9.870975974836507e-14,True,True,True,8.064983128235445e-14
Ollama (names + opt-out) [gen mc=8],Names + opt-out,ollama,generate,8.0,606,450,156,74.25742574257426,0.9443217516904786,0.9773049995016322,0.849177767619843,0.1281272318817892,7.980458327032282,9.870945166325431e-14,1.0748452753254503,450,156,0.9015112211221123,0.957166,0.7409685897435898,0.21619741025641015,8.01014618246133,7.331802843850405e-14,1.0388839404376238,0.4258922887282751,0.8176210826210826,0.8158974358974359,0.20017591857670528,0.201747494264736,True,True,True,9.870975974836507e-14,True,True,True,8.064983128235445e-14
Ollama (names + desc.) [gen mc=1],Names + desc.,ollama,generate,1.0,637,464,173,72.8414442700157,0.9216599698292074,0.9553592760173332,0.8312757035211706,0.12408357249616253,8.09974382569888,2.066057103828618e-14,0.9176850319660631,464,173,0.8650998430141288,0.9208325431034483,0.7156202312138729,0.20521231188957545,8.084303460650027,2.030285074880019e-14,0.8911419538012968,0.378408300506161,0.7830750448475184,0.7824583914690054,0.2073477777964945,0.19324552712905052,True,True,True,2.525402674896666e-14,True,True,True,2.7919302213335983e-14
Ollama (names + desc.) [gen mc=3],Names + desc.,ollama,generate,3.0,637,464,173,72.8414442700157,0.921659808127531,0.9553590540260234,0.8312757035211706,0.12408335050485275,8.099730067072358,2.0662385521881815e-14,0.9176837504467102,464,173,0.8650995290423862,0.9208321120689656,0.7156202312138729,0.2052118808550928,8.084287395473273,2.030494706424435e-14,0.8911404968065828,0.3784078477385083,0.7830625872035081,0.7824397050029899,0.20734777792377582,0.19324536542737425,True,True,True,2.525402674896666e-14,True,True,True,2.7919302213335983e-14
Ollama (names + desc.) [gen mc=5],Names + desc.,ollama,generate,5.0,637,464,173,72.8414442700157,0.921659808127531,0.9553590540260234,0.8312757035211706,0.12408335050485275,8.099730067072358,2.0662385521881815e-14,0.9176837504467102,464,173,0.8650995290423862,0.9208321120689656,0.7156202312138729,0.2052118808550928,8.084287395473273,2.030494706424435e-14,0.8911404968065828,0.3784078477385083,0.7830625872035081,0.7824397050029899,0.20734777792377582,0.19324536542737425,True,True,True,2.525402674896666e-14,True,True,True,2.7919302213335983e-14
Ollama (names + desc.) [gen mc=8],Names + desc.,ollama,generate,8.0,637,464,173,72.8414442700157,0.921659808127531,0.9553590540260234,0.8312757035211706,0.12408335050485275,8.099730067072358,2.0662385521881815e-14,0.9176837504467102,464,173,0.8650995290423862,0.9208321120689656,0.7156202312138729,0.2052118808550928,8.084287395473273,2.030494706424435e-14,0.8911404968065828,0.3784078477385083,0.7830625872035081,0.7824397050029899,0.20734777792377582,0.19324536542737425,True,True,True,2.525402674896666e-14,True,True,True,2.7919302213335983e-14
Ollama (desc. + opt-out) [gen mc=1],Desc. + opt-out,ollama,generate,1.0,602,432,170,71.76079734219269,0.9222225785233766,0.9612445965024484,0.8230607446000882,0.13818385190236027,8.915194589145527,1.2092204508140313e-16,1.0276947292195098,432,170,0.8678299003322261,0.932857175925926,0.7025841176470589,0.23027305827886713,8.995197955078796,6.424718869870907e-17,1.019446228271752,0.42045053098646984,0.822276688453159,0.8211805555555556,0.2103978106064283,0.20461460510144966,True,True,True,2.66081450541686e-16,True,True,True,1.7672044689297043e-16
Ollama (desc. + opt-out) [gen mc=3],Desc. + opt-out,ollama,generate,3.0,602,432,170,71.76079734219269,0.9222222281483691,0.9612441082483871,0.8230607446000882,0.13818336364829897,8.915164690614425,1.2094611388258455e-16,1.027691859555424,432,170,0.8678292358803986,0.9328562499999999,0.7025841176470589,0.23027213235294108,8.995163732942897,6.426198068835289e-17,1.0194430088044344,0.4204495644933072,0.8222494553376907,0.8211328976034858,0.21039781105834973,0.2046142547264422,True,True,True,2.66081450541686e-16,True,True,True,1.7672044689297043e-16
Ollama (desc. + opt-out) [gen mc=5],Desc. + opt-out,ollama,generate,5.0,602,432,170,71.76079734219269,0.9222222281483691,0.9612441082483871,0.8230607446000882,0.13818336364829897,8.915164690614425,1.2094611388258455e-16,1.027691859555424,432,170,0.8678292358803986,0.9328562499999999,0.7025841176470589,0.23027213235294108,8.995163732942897,6.426198068835289e-17,1.0194430088044344,0.4204495644933072,0.8222494553376907,0.8211328976034858,0.21039781105834973,0.2046142547264422,True,True,True,2.66081450541686e-16,True,True,True,1.7672044689297043e-16
Ollama (desc. + opt-out) [gen mc=8],Desc. + opt-out,ollama,generate,8.0,602,432,170,71.76079734219269,0.9222222281483691,0.9612441082483871,0.8230607446000882,0.13818336364829897,8.915164690614425,1.2094611388258455e-16,1.027691859555424,432,170,0.8678292358803986,0.9328562499999999,0.7025841176470589,0.23027213235294108,8.995163732942897,6.426198068835289e-17,1.0194430088044344,0.4204495644933072,0.8222494553376907,0.8211328976034858,0.21039781105834973,0.2046142547264422,True,True,True,2.66081450541686e-16,True,True,True,1.7672044689297043e-16
